SHA256,SHA1,MD5,FileName,Description
00019221fb0b61b769d4168664f11c1258e4d61659bd3ffecb126eaf92dbfe2f,,,SnappyClient,SnappyClient is a C++-based C2 implant with the ability to steal data and provide remote access
6e360fca0b1e3021908f8de271d80620d634600955fefc9fd0af40557cd517d7,,,SnappyClient,SnappyClient is a C++-based C2 implant with the ability to steal data and provide remote access
64a2609d6707a2ebfe5b40f5227d0f9b85911b752cd04f830d1bbc8aa6bec2c8,,,SnappyClient,SnappyClient is a C++-based C2 implant with the ability to steal data and provide remote access
1e63be724bf651bb17bcf181d11bacfabef6a6360dcdfda945d6389e80f2b958,,,Infiniti-stealer,a new macOS infostealer using ClickFix and Python/Nuitka
c655c2d410e6b36d9ef1359aef67183bf76c193c609697492e41d30622f7ebd4,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
b54ea465f77f1eb726d3244aa52d13c103ad9c4fc5a15061b7067347896b433c,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
357cd0a1601d24bbb7949637b352b0ace1f30f51f788a03cafa98316068938e0,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
30694a0101abfeea642cb9de7fb7eb66789eea74d8d7257b39822d7dab59445d,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
11c06aab7aa3f1857cc9add05b392ba6bd62a7fd2d168e41d9ba5557a96c78f0,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
8e322af81744217427abef3cab949aee1de70f1506f40e4e2d672af9e1f6ef0b,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
c58720dcb30e5c887ff5bfd41bb46a611f2655128f1ef1a771e1745f24349dfe,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
b1d3e7e81016561faddf7b0a6cb9a3bd0174064b3b309c6948f5f1e6688a1381,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
b1f9c4d82eb5f73b9081c3d414b3c053c1550e46fa21d30079134be3c0040ddb,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
8e322af81744217427abef3cab949aee1de70f1506f40e4e2d672af9e1f6ef0b,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
c58720dcb30e5c887ff5bfd41bb46a611f2655128f1ef1a771e1745f24349dfe,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
b1d3e7e81016561faddf7b0a6cb9a3bd0174064b3b309c6948f5f1e6688a1381,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
3fc5816afde3e58bf9fcaa1b3873f2d4bc8629ee7a8341a4a4979d2729cad5e6,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
39d39e6726408e778c8ad3d85010e1db0a686ebec1f8807f96cf80be59dfdd59,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
b5c571363632a6887c6e9471435ab0fdcbf16bae6dbdf28d0fc755a9d467e859,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
c7a657af5455812fb215a8888b7e3fd8fa1ba27672a3ed9021eb6004eff271ac,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
5343326fb0b4f79c32276f08ffcc36bd88cde23aa19962bd1e8d8b80f5d33953,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
398ea394f9a4242ebe9fd67a5ca62445fc4a34b1731d4f99b8eea5e65a98ddcb,,,OpenClaw Trap,AI-Assisted Lure Factory Targets Developers & Gamers
